Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,446
design__inferred_latch__count,0
design__instance__count,41118
design__instance__area,248852
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,43
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.016108455136418343
power__switching__total,0.02367657795548439
power__leakage__total,2.8872102575405734E-7
power__total,0.03978532552719116
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.48337213377876964
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.47309257850303965
timing__hold__ws__corner:nom_tt_025C_1v80,0.3209040901616585
timing__setup__ws__corner:nom_tt_025C_1v80,8.66690299614786
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320904
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.666903
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,235
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,43
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6576772645969075
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6386125142788562
timing__hold__ws__corner:nom_ss_100C_1v60,0.8709215817259062
timing__setup__ws__corner:nom_ss_100C_1v60,-1.890741838833582
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-14.876486241727312
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.890741838833582
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.870922
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,19
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.890742
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,19
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,43
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,4
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.41212698309430046
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4031972370100849
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10743006788236832
timing__setup__ws__corner:nom_ff_n40C_1v95,12.78894004673373
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107430
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.788940
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,287
design__max_fanout_violation__count,43
design__max_cap_violation__count,8
clock__skew__worst_hold,-0.4037737203319256
clock__skew__worst_setup,0.3955979267250563
timing__hold__ws,0.10557732764647478
timing__setup__ws,-2.313504120426339
timing__hold__tns,0.0
timing__setup__tns,-24.865671114849356
timing__hold__wns,0
timing__setup__wns,-2.313504120426339
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105577
timing__hold_r2r_vio__count,0
timing__setup_vio__count,65
timing__setup_r2r__ws,-2.313504
timing__setup_r2r_vio__count,65
design__die__bbox,0.0 0.0 850.0 850.0
design__core__bbox,5.52 10.88 844.1 837.76
design__io,183
design__die__area,722500
design__core__area,693405
design__instance__count__stdcell,41118
design__instance__area__stdcell,248852
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.358885
design__instance__utilization__stdcell,0.358885
design__instance__count__class:inverter,445
design__instance__count__class:sequential_cell,479
design__instance__count__class:multi_input_combinational_cell,27542
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,52340
design__instance__count__class:tap_cell,9792
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,181
design__io__hpwl,33802665
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,980815
design__violations,0
design__instance__count__class:timing_repair_buffer,2434
design__instance__count__class:clock_buffer,135
design__instance__count__class:clock_inverter,69
design__instance__count__setup_buffer,20
design__instance__count__hold_buffer,101
antenna__violating__nets,32
antenna__violating__pins,36
route__antenna_violation__count,32
antenna_diodes_count,222
design__instance__count__class:antenna_cell,222
route__net,31178
route__net__special,2
route__drc_errors__iter:1,13246
route__wirelength__iter:1,1071105
route__drc_errors__iter:2,7032
route__wirelength__iter:2,1066378
route__drc_errors__iter:3,6498
route__wirelength__iter:3,1065467
route__drc_errors__iter:4,504
route__wirelength__iter:4,1065171
route__drc_errors__iter:5,4
route__wirelength__iter:5,1065111
route__drc_errors__iter:6,0
route__wirelength__iter:6,1065114
route__drc_errors,0
route__wirelength,1065114
route__vias,223054
route__vias__singlecut,223054
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1541.33
timing__unannotated_net__count__corner:nom_tt_025C_1v80,89
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,89
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,89
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,43
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4752378625141956
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.46460211992651657
timing__hold__ws__corner:min_tt_025C_1v80,0.31629066927465466
timing__setup__ws__corner:min_tt_025C_1v80,8.842876903241507
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
